item,R1-R2_n,R1-R2_median,R1-R2_p90,R1-M1_n,R1-M1_median,R1-M1_p90,M1-M23_n,M1-M23_median,M1-M23_p90,R1-M23_n,R1-M23_median,R1-M23_p90,R1-M28_n,R1-M28_median,R1-M28_p90,R1-H23_n,R1-H23_median,R1-H23_p90,R1-H28_n,R1-H28_median,R1-H28_p90,R1-M18_n,R1-M18_median,R1-M18_p90,R1-M12_n,R1-M12_median,R1-M12_p90,PR-PM1_n,PR-PM1_median,PR-PM1_p90,PR-PM23_n,PR-PM23_median,PR-PM23_p90,PR-PM28_n,PR-PM28_median,PR-PM28_p90,PR-PH23_n,PR-PH23_median,PR-PH23_p90,PR-PH28_n,PR-PH28_median,PR-PH28_p90,PR-PM18_n,PR-PM18_median,PR-PM18_p90,PR-PM12_n,PR-PM12_median,PR-PM12_p90
metric:leadHandWidth:P7,38,0.0,0.0,38,1.4836,20.7462,38,1.107,11.047,38,1.6738,17.5252,38,1.7752,19.8258,38,0.857,24.6887,38,1.7727,18.4643,38,1.6271,24.6346,38,1.789,15.9493,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadHeelLift:P0,28,0.0,0.0,28,0.1805,1.3228,29,0.1188,2.4858,28,0.1845,2.3081,28,0.2021,2.26,28,0.1676,1.4547,28,0.208,2.36,28,0.1692,3.98,28,0.2555,0.907,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
metric:leadHeelLift:P2,28,0.0,0.0,28,0.3257,1.932,29,0.2515,1.0675,28,0.3758,2.3149,28,0.5103,3.5542,28,0.3541,1.9857,28,0.5115,1.6152,28,0.3936,2.2667,28,0.3327,1.2454,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
metric:leadHeelLift:P5,28,0.0,0.0,28,0.3683,0.8136,29,0.1308,1.1326,28,0.2113,1.2581,28,0.4355,1.0163,28,0.1774,0.7555,28,0.2442,0.9958,28,0.1739,1.1621,28,0.2307,0.6578,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
metric:leadKneeDrift:P0,38,0.0,0.0,38,0.8202,6.4309,38,1.2157,5.936,38,0.7896,7.3864,38,1.4612,8.6306,38,0.9676,10.1472,38,1.0256,5.2698,38,1.1903,7.8498,38,1.1257,6.1683,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadKneeDrift:P2,38,0.0,0.0,38,0.9065,3.0523,38,0.7357,6.0107,38,0.976,4.2783,38,1.5045,4.6967,38,1.0115,3.2806,38,1.6393,3.4811,38,0.7786,3.7728,38,0.6765,5.0584,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadKneeDrift:P5,38,0.0,0.0,38,1.2937,4.0539,38,0.8408,6.7781,38,1.19,6.3125,38,0.8723,4.9789,38,1.2055,2.9584,38,1.683,4.1904,38,1.4368,3.798,38,1.0817,3.5552,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadUpperArmToChest:P0,38,0.0,0.0,38,0.5569,4.4935,38,0.3382,2.0723,38,0.6383,3.0975,38,0.95,4.9435,38,0.508,2.5194,38,0.5929,3.8391,38,0.4006,2.5373,38,0.3439,3.8935,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadUpperArmToChest:P2,38,0.0,0.0,38,2.5031,7.1365,38,1.2347,9.7596,38,2.0396,14.067,38,2.1795,15.0038,38,2.1151,7.4138,37,2.3614,8.0489,38,1.6434,6.8194,37,1.6393,10.9228,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadUpperArmToChest:P5,37,0.0,0.0,37,0.3618,2.7895,38,0.3135,1.1267,37,0.422,1.1709,37,0.7403,2.0246,37,0.4321,1.8189,37,0.6923,2.5236,37,0.2982,1.9378,37,0.2967,1.6145,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0
metric:leadUpperArmToChest:P7,38,0.0,0.0,38,0.904,5.6731,38,0.8278,3.5134,38,1.1408,5.3693,38,0.9871,3.4678,38,1.3828,6.2404,38,1.4408,3.4356,38,0.8107,4.4636,38,1.031,4.6883,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:lowPointAhead:P5,29,0.0,0.0,28,0.3269,1.354,27,0.3861,2.3052,27,0.5796,1.9838,26,0.7546,2.7718,27,0.4386,2.1827,29,0.4847,1.702,28,0.4763,2.2922,27,0.7588,2.5564,29,0.1529,0.8917,27,0.2485,0.7857,27,0.1383,2.5869,29,0.265,1.2528,29,0.1854,1.0956,29,0.1531,1.7544,28,0.1249,0.6442
metric:pelvisAngularSpeed:P5,25,0.0,0.0,23,55.4077,175.8237,27,51.4865,224.1048,24,51.424,227.4513,23,58.9679,348.51,23,39.6025,217.2428,24,76.518,496.1953,24,42.0459,156.4395,25,66.9823,180.7347,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0
metric:pelvisAngularSpeed:P9,34,0.0,0.0,34,73.9597,475.814,34,35.6409,239.772,32,67.7175,321.0449,31,82.2899,487.7507,32,60.1321,199.6112,32,121.5345,480.5847,31,34.8958,278.3369,33,69.487,471.9567,34,0.0,61.6597,34,0.0,33.0361,34,0.0,104.5158,34,0.0,57.0598,34,0.0,81.8237,34,0.0,57.0598,34,0.0,4.9019
metric:pelvisLift:P0,38,0.0,0.0,38,0.8443,5.7845,38,0.6065,2.9559,38,1.2989,6.5492,38,1.5035,5.1252,38,1.1078,5.4476,38,1.2195,5.0252,38,0.9234,5.8885,38,0.767,5.4068,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:pelvisLift:P2,38,0.0,0.0,38,1.1721,2.5481,38,0.5766,2.5338,38,0.9802,3.1337,38,2.0955,4.2024,38,1.437,4.8474,38,1.3893,2.3965,38,0.8314,3.8302,38,0.8269,3.9328,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:pelvisLift:P5,38,0.0,0.0,38,1.6706,5.933,38,1.0056,4.2836,38,1.1549,6.3672,38,1.5524,5.2116,38,1.7082,4.9902,38,1.5096,6.1828,38,1.2121,4.4208,38,0.8634,5.0073,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:pelvisSway:P0,38,0.0,0.0,38,0.3411,2.3127,38,0.2158,1.5791,38,0.3311,1.7352,38,0.5543,2.2072,38,0.3961,2.3284,38,0.4753,2.0897,38,0.3619,1.6397,38,0.2783,2.9188,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:pelvisSway:P2,38,0.0,0.0,38,0.5924,1.6081,38,0.3243,1.6779,38,0.5498,2.0181,38,0.866,2.774,38,0.9785,1.9849,38,0.9719,2.609,38,0.6594,3.2233,38,0.5292,2.8775,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:pelvisSway:P5,38,0.0,0.0,38,0.6517,1.701,38,0.3933,1.6546,38,0.4996,1.842,38,0.8755,2.5798,38,0.6317,1.3452,38,0.8644,2.0057,38,0.7628,2.5032,38,0.5107,2.0777,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:plumbBobDistance:P0,28,0.0,0.0,28,0.1583,0.7069,29,0.1445,1.1179,28,0.1184,0.4351,28,0.224,0.8372,28,0.1235,0.505,28,0.14,0.6605,28,0.1202,0.5011,28,0.1724,0.4786,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P12,28,0.0,0.0,28,0.164,0.3456,28,0.1662,0.5768,27,0.1427,0.681,27,0.1521,0.5177,27,0.1264,0.3803,28,0.196,0.4455,27,0.0967,0.5026,27,0.1325,0.2834,28,0.0,0.0,28,0.0,0.001,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P13,28,0.0,0.0,28,0.1838,0.3762,28,0.0978,0.6367,27,0.0956,0.5549,28,0.2014,0.543,27,0.1379,0.4192,28,0.1388,0.3979,27,0.1445,0.3775,27,0.0797,0.4272,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P2,28,0.0,0.0,28,0.1534,0.594,29,0.1431,0.5505,28,0.1808,0.5302,28,0.2833,0.601,28,0.2745,0.5552,28,0.131,0.4526,28,0.193,0.5472,28,0.1657,0.4821,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P5,28,0.0,0.0,28,0.1541,0.6578,29,0.1656,0.5146,28,0.1871,0.3974,28,0.2686,0.6406,28,0.171,0.4166,28,0.1911,0.6903,28,0.1789,0.8014,28,0.1229,0.4791,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P8,28,0.0,0.0,28,0.1112,0.3346,28,0.1134,0.4844,27,0.1437,0.4513,27,0.1862,0.6773,27,0.1833,0.4369,28,0.2478,0.6006,27,0.1337,0.3232,27,0.147,0.5511,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P9,28,0.0,0.0,28,0.1698,0.7373,29,0.1294,0.3519,28,0.1504,0.5609,28,0.3246,0.8347,28,0.1689,0.7924,28,0.2092,0.8594,28,0.183,0.7902,28,0.1535,0.7096,28,0.0,0.1311,28,0.0,0.015,28,0.0,0.1229,28,0.0,0.1229,28,0.0,0.0792,28,0.0,0.0792,28,0.0,0.1198
metric:secondaryAxisTilt:P0,38,0.0,0.0,38,0.1852,0.8335,38,0.1311,0.5906,38,0.197,1.0345,38,0.3068,1.132,38,0.1691,1.2478,38,0.2979,0.7229,38,0.2937,1.2328,38,0.214,1.2774,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:secondaryAxisTilt:P2,38,0.0,0.0,38,1.34,6.2563,38,1.1905,8.245,38,0.7974,10.8017,38,1.5295,9.1817,38,1.1416,8.7507,38,1.6932,8.5831,38,0.7456,8.4576,38,0.7583,5.9217,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:secondaryAxisTilt:P5,37,0.0,0.0,37,0.2197,0.8069,38,0.1644,0.5235,37,0.2232,0.5445,37,0.3312,0.971,37,0.205,0.6802,37,0.373,0.7523,37,0.1213,0.6136,37,0.1486,0.4957,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0
metric:shaftAngleVsHorizontal:P0,38,0.0,0.0,38,1.0,16.9894,38,1.0,12.0435,38,1.0,48.5768,38,1.0,6.4238,38,1.0,6.6761,38,0.1328,10.8905,38,0.8415,10.5139,38,1.0,5.9523,38,0.0065,6.9326,38,0.0005,4.2931,38,0.0049,5.3012,38,0.01,6.5584,38,0.0014,5.6243,38,0.0014,1.9,38,0.0023,8.8206
metric:shaftAngleVsHorizontal:P2,38,0.0,0.0,38,3.5979,20.6741,38,2.1627,32.6273,38,3.8923,27.3975,38,3.701,32.2148,38,4.2561,27.7612,38,1.9132,17.4867,38,3.163,17.1271,38,2.8956,29.6725,38,1.0026,17.3394,38,1.1732,13.8811,38,2.6816,15.3695,38,1.1378,14.0853,38,0.9381,20.8411,38,0.9797,9.1458,38,0.4076,17.3239
metric:shaftAngleVsHorizontal:P5,38,0.0,0.0,38,5.7238,54.5409,38,5.7238,38.6138,38,11.8464,76.9481,38,14.5381,39.6,38,13.5,75.1631,38,11.5,39.5859,38,14.1955,41.6677,38,13.3925,40.491,38,0.8961,39.4771,38,1.5,40.3409,38,7.541,37.8303,38,2.0861,49.3,38,3.5,47.6193,38,1.0,36.2409,38,0.0,32.5
metric:shaftAngleVsHorizontal:P7,38,0.0,0.0,38,4.5,34.3431,38,4.5,54.9009,38,7.3046,52.5009,38,9.5,49.7273,38,8.0,68.1661,38,5.5,44.2153,38,3.5,37.269,38,4.9347,42.5901,38,1.0,23.3828,38,0.5946,31.4452,38,6.7147,38.178,38,3.5,39.3444,38,2.0,25.578,38,0.1098,19.3,38,0.9036,26.8719
metric:shoulderPlaneAngle:P0,38,0.0,0.0,38,0.3156,0.8033,38,0.2574,0.6893,38,0.2742,0.6417,38,0.4289,1.0288,38,0.2707,0.9123,38,0.3114,0.7449,38,0.2301,0.8764,38,0.256,0.6639,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:shoulderPlaneAngle:P2,9,0.0,0.0,5,3.0342,31.0768,8,4.056,28.3224,4,2.6415,16.2756,4,6.4737,11.3351,3,8.396,10.2937,3,4.0543,31.6173,6,0.7894,5.5744,4,10.4681,13.3401,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0
metric:shoulderPlaneAngle:P5,37,0.0,0.0,37,0.3703,0.7572,38,0.1692,0.4606,37,0.3433,1.123,37,0.6374,1.2321,37,0.3069,0.8195,37,0.4916,1.472,37,0.1465,0.7051,37,0.1061,0.6924,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0
metric:spineSideBend:P0,38,0.0,0.0,38,1.0799,10.573,38,0.4965,2.9528,38,1.1862,10.2542,38,1.0139,9.38,38,0.8355,11.4566,38,1.4905,7.1918,38,1.0998,9.835,38,0.6419,5.0335,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:spineSideBend:P2,9,0.0,0.0,5,2.8867,31.3878,8,6.7774,27.7864,4,2.6607,16.8315,4,6.5291,13.2423,3,6.9333,10.8316,3,3.1623,33.0595,6,0.6495,6.8217,4,10.5212,14.4845,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0
metric:spineSideBend:P5,37,0.0,0.0,37,0.604,5.3277,38,0.4197,5.4498,37,0.8281,3.8911,37,0.9712,6.2402,37,0.765,6.0342,37,1.1537,5.3781,37,0.4759,4.4976,37,0.368,4.076,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0
metric:stanceWidth:P0,38,0.0,0.0,38,0.8324,2.3763,38,0.5854,1.2881,38,0.7752,2.0264,38,1.0833,2.5476,38,0.854,2.5425,38,1.4545,2.9852,38,0.7786,2.1096,38,0.7233,1.8216,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:stanceWidthMm:P0,28,0.0,0.0,28,2.032,5.1445,29,1.0943,3.6225,28,1.7287,4.7584,28,1.7139,7.2596,28,1.786,8.9971,28,3.2775,8.7955,28,1.4558,5.5429,28,1.9057,5.376,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0,28,0.0,0.0
metric:swingPlaneIotaBack:P2,38,0.0,0.0,38,1.9185,7.2497,37,1.7193,8.4745,37,2.7951,6.8044,37,2.2019,6.5137,38,2.1965,8.4584,38,2.2398,6.3292,38,2.521,7.895,38,2.5322,8.0008,38,1.6511,5.1228,38,1.4356,4.7723,38,1.7966,5.6487,38,1.0778,3.5667,38,1.5396,3.3511,38,1.3226,3.8899,38,1.261,4.5602
metric:swingPlaneIotaDown:P5,38,0.0,0.0,38,2.7888,8.7507,37,1.8246,7.4617,37,2.9774,8.2195,37,3.0903,10.4834,38,2.3241,9.5392,38,3.6098,8.2639,38,3.4593,14.2843,38,3.6991,10.2038,38,1.6475,9.2263,38,2.3216,8.8383,38,2.0347,9.708,38,1.7886,7.8325,38,1.7921,7.5465,38,2.2197,7.9149,38,1.5799,7.5999
metric:tempoBackswing:P5,38,0.0,0.0,38,0.0065,0.0337,38,0.0,0.0802,38,0.0067,0.0824,38,0.0068,0.0925,38,0.0066,0.0952,38,0.0065,0.0433,38,0.007,0.0637,38,0.0001,0.0824,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:tempoRatio:P5,38,0.0,0.0,38,0.0237,0.2208,38,0.0,0.4684,38,0.0566,0.9357,38,0.0666,0.9228,38,0.0233,0.9908,38,0.0226,0.2064,38,0.0743,0.5983,38,0.0412,0.9357,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:thoraxAngularSpeed:P5,11,0.0,0.0,7,69.3089,730.3001,5,234.0308,494.0668,3,126.8286,440.7654,6,159.2055,318.5179,9,19.1432,675.9281,9,125.2217,653.3368,7,122.77,671.5991,9,81.9942,670.7658,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0
metric:thoraxAngularSpeed:P9,37,0.0,0.0,37,51.0382,331.2645,36,35.2835,465.9222,36,46.8114,352.4535,36,52.2545,239.1673,36,46.0555,403.94,37,53.65,427.1759,36,39.4574,446.8875,36,33.12,502.7385,37,0.0,25.467,37,0.0,3.7705,37,0.0,29.2555,37,0.0,29.2555,37,0.0,25.467,37,0.0,25.467,37,0.0,9.9278
metric:thoraxLateralDrift:P0,38,0.0,0.0,38,2.8544,31.1872,38,2.0896,31.0916,38,2.1869,30.2647,38,4.4947,33.6924,38,2.1986,33.1465,38,3.0667,61.8288,38,2.4112,17.8365,38,2.538,22.7404,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:thoraxLateralDrift:P2,38,0.0,0.0,38,3.5287,15.3394,38,3.4471,15.0612,38,3.169,15.2599,38,3.9457,19.2266,38,3.6064,13.4622,38,3.6482,15.726,38,4.5653,13.0594,38,3.9719,13.3788,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:thoraxLateralDrift:P5,37,0.0,0.0,37,2.2183,6.5539,38,2.1096,8.1156,37,2.1213,5.4058,37,2.6898,9.637,37,1.9221,5.6273,37,2.8936,10.4865,37,2.4412,8.4964,37,1.3863,6.0675,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0
metric:toeLineAngle:P0,38,0.0,0.0,38,1.8857,349.9014,38,0.8417,60.8759,38,0.8116,182.7748,38,1.877,168.6333,38,0.9399,168.3053,38,0.8919,176.5441,38,0.7907,166.8534,38,0.5827,170.834,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailElbowHeight:P0,38,0.0,0.0,38,1.4242,25.7802,38,0.6488,10.3458,38,0.7816,21.9569,38,1.7066,23.1395,38,0.6642,28.9521,38,1.3633,25.1662,38,0.7701,33.5444,38,0.7716,22.6702,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailElbowHeight:P2,9,0.0,0.0,5,23.1323,61.5612,8,19.6765,71.0598,4,5.6796,25.7616,4,16.4496,24.8297,3,15.9196,17.4982,3,9.2372,22.1036,6,3.1374,42.672,4,12.5541,19.0597,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0
metric:trailElbowHeight:P5,37,0.0,0.0,37,0.6464,2.1047,38,0.4007,1.3237,37,0.5604,2.147,37,1.2158,3.204,37,0.6302,2.795,37,1.173,3.5021,37,0.7265,3.7001,37,0.4464,1.8076,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0,37,0.0,0.0
metric:trailElbowHeight:P7,34,0.0,0.0,34,1.9862,5.7556,35,1.7247,6.4943,34,2.1069,7.2644,33,2.5872,6.932,31,2.0717,15.3715,33,1.9456,5.3493,32,1.2344,9.4034,33,0.8281,7.1499,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0,34,0.0,0.0
metric:trailFootFlare:P0,38,0.0,0.0,38,1.9651,8.5726,38,1.2016,7.7362,38,2.0583,7.4418,38,1.7006,7.2286,38,1.8225,7.697,38,1.3052,8.3274,38,0.9936,5.6441,38,2.0164,4.7289,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailWristFlexExt:P0,38,0.0,0.0,38,3.3297,22.3909,38,1.1946,18.3828,38,2.2856,9.961,38,2.3119,14.1578,38,1.8058,13.7047,38,1.9463,9.8317,38,1.9722,11.3119,38,1.3485,12.249,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailWristFlexExt:P2,38,0.0,0.0,38,3.7497,31.106,38,2.2294,98.4063,38,4.1629,82.944,38,5.302,61.7437,38,3.8443,91.3073,38,4.8613,36.9173,38,2.7492,47.3539,38,1.9165,21.3001,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailWristFlexExt:P5,38,0.0,0.0,38,1.8243,31.5107,38,0.9884,19.2848,38,0.9678,29.2314,38,1.9041,23.9124,38,1.6208,20.1337,38,1.5817,20.7802,38,0.6492,21.0226,38,0.9857,11.9751,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:trailWristFlexExt:P7,38,0.0,0.0,38,2.4097,7.4267,38,1.5497,5.9801,38,2.0312,19.4727,38,1.8242,12.6594,38,1.74,21.1161,38,1.7609,15.5836,38,1.5141,10.2839,38,2.2763,11.1817,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:transitionPlaneDelta:P3,38,0.0,0.0,38,4.6174,12.2373,37,2.8654,10.4884,37,4.7844,11.5899,37,4.5315,12.4693,38,3.8794,13.8457,38,4.0525,11.7768,38,4.6406,16.0576,38,6.4667,12.6031,38,3.425,14.7232,38,3.3461,10.014,38,3.6452,10.9356,38,2.5852,7.3752,38,1.7531,9.6552,38,2.4406,9.5694,38,3.024,9.737
metric_keys_only_in_first,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric_keys_only_in_second,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric_value_count_diff,38,0.0,0.0,38,1.0,4.3,38,0.5,3.0,38,1.0,4.3,38,1.0,4.0,38,1.0,3.0,38,1.0,3.0,38,1.0,3.3,38,1.0,4.3,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P00_ms,38,0.0,0.0,38,0.0,28.6771,38,0.0,30.0916,38,0.0,32.9009,38,0.0,66.6613,38,0.0,27.2742,38,0.0,39.3181,38,0.0,40.1682,38,0.0,40.1448,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P01_ms,38,0.0,0.0,38,0.0,96.7948,38,0.0,38.9914,38,0.0,119.1823,38,0.0,119.0794,38,0.0,49.7681,38,0.0,59.3591,38,0.0,91.9626,38,0.0,94.2227,38,0.0,5.785,38,0.0,0.0506,38,0.0,0.9047,38,0.0,0.0013,38,0.0,0.1913,38,0.0,0.0023,38,0.0,0.0
phase_P02_ms,38,0.0,0.0,38,0.0,19.1368,38,0.0,14.9266,38,0.0,80.3461,38,0.0,82.3792,38,0.0,48.9226,38,0.0,15.5871,38,0.0,26.0608,38,0.0,38.0911,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P05_ms,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P07_ms,38,0.0,0.0,38,4.2985,22.2049,38,0.0,27.3926,38,0.0,60.2125,38,5.9575,56.8041,38,5.775,114.9134,38,6.521,37.6209,38,6.1255,81.5858,38,0.0,28.5831,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P08_ms,38,0.0,0.0,38,0.836,3.3598,37,0.359,2.6846,37,0.786,3.4642,37,1.071,6.2404,37,0.571,5.3268,38,1.3405,7.9415,37,0.555,2.9678,37,0.429,3.484,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
